Date,Sales
2018-10-31,523.928
2018-11-01,2921.43
2018-11-02,6294.386
2018-11-03,4536.937
2018-11-04,10668.096
2018-11-05,2355.064
2018-11-06,4288.75
2018-11-07,2413.378
2018-11-08,384.1
2018-11-09,4751.492
2018-11-10,4007.5480000000002
2018-11-11,1815.2179999999998
2018-11-12,2911.386
2018-11-13,6633.4202000000005
2018-11-14,834.6579999999999
2018-11-15,559.2
2018-11-16,4755.234
2018-11-17,13408.7928
2018-11-18,1469.756
2018-11-19,7397.272
2018-11-20,2988.274
2018-11-21,2236.1839999999997
2018-11-22,35.712
2018-11-23,1153.109
2018-11-24,4736.061
2018-11-25,3666.157
2018-11-26,5048.1720000000005
2018-11-27,1618.254
2018-11-28,6912.944
2018-11-29,491.888
2018-11-30,6645.282
2018-12-01,5331.178
2018-12-02,9951.182
2018-12-03,1403.842
2018-12-04,2639.638
2018-12-05,1453.136
2018-12-06,10.68
2018-12-07,2916.514
2018-12-08,7643.041
2018-12-09,5470.39
2018-12-10,3873.5589999999997
2018-12-11,2025.035
2018-12-13,580.936
2018-12-14,3897.714
2018-12-15,306.88800000000003
2018-12-16,858.702
2018-12-17,2027.758
2018-12-18,3645.911
2018-12-19,1895.926
2018-12-20,377.736
2018-12-21,2140.94
2018-12-22,7442.021
2018-12-23,1926.776
2018-12-24,6233.054
2018-12-25,2698.927
2018-12-26,814.5939999999999
2018-12-27,177.636
2018-12-28,1657.3508000000002
2018-12-29,2915.534
2018-12-30,713.7900000000001
